fac,PY,PH,MT,PT,NS,NR,SC,EN,ICT,EG,LA,CRS
2561,19441.6,15785.1,18206.5,17834,14200.8,16786.2,15194.5,14053.9,10745,17152.75,23345,15195.6
2562,20343.2,16665.3,19652.5,19391.5,17235.3,17758.6,16187.2,14435.7,6878,17983.2,24385.5,16268.9
