fac,PY,PH,MT,PT,NS,NR,SC,EN,ICT,EG,LA,CRS
2561,20885.24,18162.5,20110.9,20490.1,18625.9,19343,20833.5,16897.5,15516.6,18952.1,25391,21944.9
2562,21554.4,20668.8,21505.5,22285.5,20505,20012.2,20132.5,17971.9,16592.3,22264.4,26243.3,22719
